time_since,sentiment_score,f0_
-33,0,21
-3,0,213
236,0,1
332,0,1
356,0,2
833,0,1
1302,0,1
-8,-0,65
16,-0,149
56,-0,390
81,-0,223
121,-0,443
244,-0,3
254,-0,1
351,-0,1
4522,0.5,1
151,-0.5,201
281,-0.5,1
-58,0.3,13
348,0.3,2
36,-0.3,408
86,-0.3,438
101,-0.3,591
106,-0.3,644
111,-0.3,505
116,-0.3,599
146,-0.3,778
171,-0.3,16
176,-0.3,16
203,-0.3,4
256,-0.3,4
268,-0.3,1
515,-0.3,1
718,-0.3,1
366,-0.6,1
450,-1.2,1
808,0.7,1
287,-0.7,2
496,-1.4,1
-53,0.1,18
-43,0.1,5
-38,0.1,13
-28,0.1,22
-18,0.1,43
-13,0.1,53
126,0.1,651
818,0.1,1
1571,0.1,1
2658,0.1,1
-48,-0.1,6
6,-0.1,321
11,-0.1,187
26,-0.1,596
46,-0.1,355
61,-0.1,341
71,-0.1,143
76,-0.1,156
136,-0.1,505
141,-0.1,507
181,-0.1,7
191,-0.1,10
206,-0.1,4
2801,-0.1,2
-62,0.2,11
-23,0.2,21
21,-0.2,241
31,-0.2,274
41,-0.2,315
51,-0.2,305
66,-0.2,178
91,-0.2,416
96,-0.2,318
131,-0.2,301
186,-0.2,9
196,-0.2,10
213,-0.2,2
1311,-0.2,1
156,-0.4,66
161,-0.4,57
166,-0.4,19
724,-0.4,2
2798,-0.4,1
1272,0.8,1
264,-0.8,2
1300,-1.6,1
